id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,language,mentions,urls,photos,replies_count,retweets_count,likes_count,hashtags,cashtags,link,retweet,quote_url,video,thumbnail,near,geo,source,user_rt_id,user_rt,retweet_id,reply_to,retweet_date,translate,trans_src,trans_dest
1344295096666247168,1344269368373489664,2020-12-30 14:51:41 UTC,2020-12-30,14:51:41,+0000,1025446161166024704,katiasastre,Katia Sastre,,"@cleifeison Acompanhe minhas redes sociais, @Cleiferson, especialmente o Instagram. Neste ano, protocolei 16 projetos, com destaque para segurança, saúde e família",pt,"[{'screen_name': 'cleiferson', 'name': 'cleiferson gomes', 'id': '200330314'}]",[],[],1,0,1,[],[],https://twitter.com/KatiaSastre/status/1344295096666247168,False,,0,,,,,,,,"[{'screen_name': 'cleifeison', 'name': 'Cleifeison', 'id': '233276319'}]",,,,
1344269368373489664,1344269368373489664,2020-12-30 13:09:27 UTC,2020-12-30,13:09:27,+0000,1025446161166024704,katiasastre,Katia Sastre,,Aborto legalizado na Argentina. Nunca foi por direitos. Sempre foi por assassinato de inocentes e destruição da vida de mulheres.,pt,[],[],[],6,5,36,[],[],https://twitter.com/KatiaSastre/status/1344269368373489664,False,,0,,,,,,,,[],,,,
1343608770300162049,1343608770300162049,2020-12-28 17:24:28 UTC,2020-12-28,17:24:28,+0000,1025446161166024704,katiasastre,Katia Sastre,,"A cadeia é o melhor lugar para criminosos que pensam ter algum poder sobre a vida das mulheres, a ponto de assassiná-las. Denuncie já nas primeiras agressões, antes que seja tarde!  Ligue 180 Whatsapp- (61) 99656-5008 Telegram- DireitosHumanosBrasilBot App- Diretos Humanos Brasil  https://t.co/BLrwAdnNOZ",pt,[],[],['https://pbs.twimg.com/media/EqV0QIWXcAMcvS6.jpg'],2,6,16,[],[],https://twitter.com/KatiaSastre/status/1343608770300162049,False,,1,https://pbs.twimg.com/media/EqV0QIWXcAMcvS6.jpg,,,,,,,[],,,,
1341401314522230784,1341401311410081810,2020-12-22 15:12:50 UTC,2020-12-22,15:12:50,+0000,1025446161166024704,katiasastre,Katia Sastre,,"O PL 3317/2020 restringe ainda mais a possibilidade do saidão. Na proposta, incluo três tipos de criminosos: presos reincidentes, presos por crimes hediondos resultados em morte ou condenados por crimes praticados contra cônjuge, companheiro, ascendente, descendente ou irmão.",pt,[],[],[],3,3,16,[],[],https://twitter.com/KatiaSastre/status/1341401314522230784,False,,0,,,,,,,,[],,,,
1341401311410081810,1341401311410081810,2020-12-22 15:12:49 UTC,2020-12-22,15:12:49,+0000,1025446161166024704,katiasastre,Katia Sastre,,"E a Suzane Von Richthofen ganha mais uma ""saidinha"" de brinde. Dessa vez, pra passar o Natal... mas sem família, pois ela exterminou. Em maio, ela saiu da cadeia em decorrência do - acreditem - Dia das Mães.  Neste ano, para evitar notícias absurdas como essas, protocolei um PL +  https://t.co/7cHOmWg4dv",pt,[],[],['https://pbs.twimg.com/media/Ep2dYLhWwAgaiba.jpg'],4,6,31,[],[],https://twitter.com/KatiaSastre/status/1341401311410081810,False,,1,https://pbs.twimg.com/media/Ep2dYLhWwAgaiba.jpg,,,,,,,[],,,,
1341039423031562242,1341039417348255745,2020-12-21 15:14:48 UTC,2020-12-21,15:14:48,+0000,1025446161166024704,katiasastre,Katia Sastre,,"Agradeço a Deus todos os dias por esses grandes resultados, frutos da nossa eficiência e trabalho duro!!  https://t.co/WGJfqKEPjg",pt,[],[],"['https://pbs.twimg.com/media/EpxUEUMXcAAPzfe.jpg', 'https://pbs.twimg.com/media/EpxUGHQXIAUjdyj.jpg', 'https://pbs.twimg.com/media/EpxUHlAXEAAzJ3A.jpg', 'https://pbs.twimg.com/media/EpxUI-QXEAES1Rb.jpg']",0,1,11,[],[],https://twitter.com/KatiaSastre/status/1341039423031562242,False,,1,https://pbs.twimg.com/media/EpxUEUMXcAAPzfe.jpg,,,,,,,[],,,,
1341039417348255745,1341039417348255745,2020-12-21 15:14:47 UTC,2020-12-21,15:14:47,+0000,1025446161166024704,katiasastre,Katia Sastre,,"▶️RETROSPECTIVA 2020  Em 2020 fui uma das congressistas que mais pagou recursos à população de São Paulo.   Em um ano duro de pandemia, destinei R$ 18,5 milhões à Saúde.   Na Segurança Pública, fui a parlamentar com maior investimento contra a criminalidade, com R$ 5,2 milhões.  https://t.co/nyYncEyed7",pt,[],[],"['https://pbs.twimg.com/media/EpxT6ESWwAAfU6t.jpg', 'https://pbs.twimg.com/media/EpxT7qrXUAcOMTl.jpg', 'https://pbs.twimg.com/media/EpxT9N-XEAY21fb.jpg', 'https://pbs.twimg.com/media/EpxT_BOXUAMUzI_.jpg']",4,2,21,[],[],https://twitter.com/KatiaSastre/status/1341039417348255745,False,,1,https://pbs.twimg.com/media/EpxT6ESWwAAfU6t.jpg,,,,,,,[],,,,
1340327249363562500,1340327249363562500,2020-12-19 16:04:52 UTC,2020-12-19,16:04:52,+0000,1025446161166024704,katiasastre,Katia Sastre,,"'Quando a presa está armada...'Já sabe, né?  https://t.co/XWOna5pzPx",pt,[],[],[],3,11,27,[],[],https://twitter.com/KatiaSastre/status/1340327249363562500,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1340327098184048640/pu/img/wi_FV0h5aMYsY5X6.jpg,,,,,,,[],,,,
1340305085662978049,1340305082039070724,2020-12-19 14:36:48 UTC,2020-12-19,14:36:48,+0000,1025446161166024704,katiasastre,Katia Sastre,,"Meu apoio à derrubada desta resolução - derrubada apoiada pela Ministra @DamaresAlves, do Ministério da Mulher, Família e Direitos Humanos, ao qual o Conanda é subordinado.",pt,"[{'screen_name': 'damaresalves', 'name': 'damares alves', 'id': '1083774484123975680'}]",[],[],0,1,13,[],[],https://twitter.com/KatiaSastre/status/1340305085662978049,False,,0,,,,,,,,[],,,,
1340305084123590660,1340305082039070724,2020-12-19 14:36:48 UTC,2020-12-19,14:36:48,+0000,1025446161166024704,katiasastre,Katia Sastre,,"Na prática, a resolução normaliza o estupro de internas fisicamente mais frágeis, ignorando a legislação brasileira que classifica tal prática com menores de 14 anos como estupro de vulnerável.",pt,[],[],[],3,2,24,[],[],https://twitter.com/KatiaSastre/status/1340305084123590660,False,,0,,,,,,,,[],,,,
1340305082039070724,1340305082039070724,2020-12-19 14:36:47 UTC,2020-12-19,14:36:47,+0000,1025446161166024704,katiasastre,Katia Sastre,,"Meu repúdio à resolução do Conselho Nacional dos Direitos da Criança e do Adolescente (Conanda) q autoriza visitas íntimas a menores infratoras em unidades socioeducativas já a partir dos 12 anos, ainda assegurando às menores relacionamento c/ outras internas entre 12 e 21 anos.",pt,[],[],[],3,7,32,[],[],https://twitter.com/KatiaSastre/status/1340305082039070724,False,,0,,,,,,,,[],,,,
1339955728350474240,1339955728350474240,2020-12-18 15:28:35 UTC,2020-12-18,15:28:35,+0000,1025446161166024704,katiasastre,Katia Sastre,,"Esse tipo de agressão às mulheres mostra o profundo desrespeito que, infelizmente, alguns homens têm. Ontem mesmo protocolei na Câmara o PL 5574/2020 para endurecer o cerco contra esses criminosos.   Esse vilipendio é uma grave violência à dignidade feminina e precisa acabar!  https://t.co/gAlB4Ql8Qn",pt,[],[],[],1,0,11,[],[],https://twitter.com/KatiaSastre/status/1339955728350474240,False,,1,https://pbs.twimg.com/ext_tw_video_thumb/1339955635677499393/pu/img/4VrCc_0dGG7JyBZ_.jpg,,,,,,,[],,,,
